"business_area_name","region_name","barr_date","revenue"
"A00 - Equipment","EMEA","2021-11-01",1515948.1071
"F00 - GCCT","APAC","2021-11-01",3175048.165460999
"F00 - GCCT","Latin America","2021-11-01",727242.030989
"B00 - Services","India","2021-11-01",3347397.6959800003
"F00 - GCCT","EMEA","2021-11-01",872556.033
"A00 - Equipment","India","2021-11-01",5210603.23716
"B00 - Services","EMEA","2021-11-01",1519331.6537930002
"A00 - Equipment","Eurasia","2021-11-01",4631727.513399999
"F00 - GCCT","China","2021-11-01",0
"A00 - Equipment","Latin America","2021-11-01",1181214.0563120001
"A00 - Equipment","China","2021-10-01",-501.9073820000003
"F00 - GCCT","India","2021-10-01",1282952.26957
"B00 - Services","APAC","2021-10-01",3912485.789233
"B00 - Services","Latin America","2021-10-01",1626473.0801799998
"F00 - GCCT","North America","2021-10-01",757788.447729
"X00 - Other","EMEA","2021-10-01",0
"A00 - Equipment","Eurasia","2021-10-01",2594998.8257
"F00 - GCCT","Latin America","2021-10-01",509552.62346200005
"A00 - Equipment","EMEA","2021-10-01",1194023.6596040002
"Consolidated","Global","2021-10-01",29149629.792472
"A00 - Equipment","India","2021-10-01",1200354.072559
"A00 - Equipment","APAC","2021-10-01",1975842.215605
"B00 - Services","Eurasia","2021-10-01",2331714.0985999997
"A00 - Equipment","Latin America","2021-10-01",2489179.1454340005
"B00 - Services","EMEA","2021-10-01",1880807.301327
"F00 - GCCT","EMEA","2021-10-01",964558.1668
"B00 - Services","North America","2021-10-01",842032.78935
"B00 - Services","India","2021-10-01",2418535.1217989996
"F00 - GCCT","Eurasia","2021-10-01",27993.9191
"F00 - GCCT","APAC","2021-10-01",2101981.005928
"B00 - Services","China","2021-10-01",199381.80198299998
"A00 - Equipment","North America","2021-10-01",911368.653767
"F00 - GCCT","Eurasia","2021-09-01",32277.440200000005
"X00 - Other","APAC","2021-09-01",0
"F00 - GCCT","EMEA","2021-09-01",819727.6813
"A00 - Equipment","EMEA","2021-09-01",2878421.4068219997
"A00 - Equipment","Eurasia","2021-09-01",4317428.3451000005
"A00 - Equipment","China","2021-09-01",197508.674201
"B00 - Services","Latin America","2021-09-01",2143410.3582289997
"A00 - Equipment","North America","2021-09-01",476751.548933
"A00 - Equipment","APAC","2021-09-01",3524136.308089
"B00 - Services","North America","2021-09-01",1245351.653912
"B00 - Services","APAC","2021-09-01",3953804.1922619995
"B00 - Services","China","2021-09-01",92757.756925
"F00 - GCCT","Latin America","2021-09-01",671007.2088499999
"A00 - Equipment","India","2021-09-01",600915.8155690001
"A00 - Equipment","Latin America","2021-09-01",785943.5620439999
"F00 - GCCT","North America","2021-09-01",512584.103086
"F00 - GCCT","India","2021-09-01",1186563.471877
"B00 - Services","EMEA","2021-09-01",2949368.7405120004
"F00 - GCCT","APAC","2021-09-01",2255031.685556
"Consolidated","Global","2021-09-01",33113061.089069
"B00 - Services","Eurasia","2021-09-01",1915116.7036000004
"X00 - Other","EMEA","2021-09-01",0.0005620000000021719
"B00 - Services","India","2021-09-01",2570230.320344
