ts_month,copper_index,ironore_index,lead_index,molybdenum_index,nickel_index,uranium_index,zinc_index,gold_index,platinum_index,palladium_index,silver_index,commodity_index
11/1/2011 0:00,0.793554822,0.789187202,0.772054165,0.747149715,0.698771653,0.78066271,0.813480353,1.278122241,0.89290957,0.78602848,1.166680859,0.938895831
12/1/2011 0:00,0.790954796,0.792922705,0.782947066,0.74609961,0.714166342,0.777448071,0.800621949,1.203849119,0.813777454,0.811128095,1.056797083,0.911257939
1/1/2012 0:00,0.842124507,0.802385978,0.811521135,0.761956196,0.776252021,0.777373887,0.833044998,1.217990986,0.842754418,0.829133368,1.081912918,0.94331999
2/1/2012 0:00,0.884466799,0.807461518,0.821239607,0.779317932,0.797320885,0.77351632,0.864957641,1.279917636,0.929020367,0.884584018,1.200575414,0.987086564
3/1/2012 0:00,0.884492711,0.81384152,0.796242037,0.823807381,0.729572139,0.758598597,0.855768836,1.231857842,0.927251139,0.860276013,1.157771364,0.963614251
4/1/2012 0:00,0.856723048,0.82389773,0.802264808,0.797029703,0.701196567,0.760459941,0.841689143,1.212219804,0.886845618,0.824110584,1.106602211,0.943319681
5/1/2012 0:00,0.821957335,0.777742488,0.775703176,0.797029703,0.664325941,0.765649286,0.811583035,1.166389122,0.820015941,0.773406321,1.009230485,0.90349633
6/1/2012 0:00,0.771079395,0.75554396,0.717829029,0.797029703,0.647013479,0.752896708,0.781276115,1.176178754,0.808790067,0.769325976,0.986099727,0.882478128
7/1/2012 0:00,0.791217426,0.729917226,0.728407771,0.749774977,0.630564264,0.74424191,0.776672455,1.170729127,0.796646538,0.72729724,0.962528873,0.879492849
8/1/2012 0:00,0.786409906,0.633627877,0.735818647,0.655754054,0.615191421,0.72603535,0.764236046,1.198115141,0.814248338,0.757244318,1.016301711,0.877937464
9/1/2012 0:00,0.855407569,0.576089225,0.843079752,0.693069307,0.675898738,0.701663283,0.844808623,1.283000067,0.907043078,0.82410605,1.186486125,0.949960195
10/1/2012 0:00,0.845994204,0.643156116,0.829255668,0.682020376,0.671237522,0.655367049,0.80029889,1.28213528,0.912595599,0.792232016,1.16313275,0.936946609
11/1/2012 0:00,0.804885873,0.674133719,0.844740964,0.62980048,0.638655461,0.614455278,0.803846103,1.266226913,0.881622451,0.800839121,1.152246838,0.922637816
