Campaign,Ad Group,Keyword,Criterion Type
SEM_Instructors,Jonathan Cornelissen,+jonathan +cornelissen +course,Broad
SEM_Instructors,Jonathan Cornelissen,jonathan cornelissen courses,Exact
SEM_Instructors,Jonathan Cornelissen,jonathan cornelissen courses,Phrase
SEM_Instructors,Jonathan Cornelissen,+jonathan +cornelissen +courses,Broad
SEM_Instructors,Jonathan Cornelissen,jonathan cornelissen learn,Exact
SEM_Instructors,Jonathan Cornelissen,jonathan cornelissen learn,Phrase
SEM_Instructors,Jonathan Cornelissen,+jonathan +cornelissen +learn,Broad
SEM_Instructors,Jonathan Cornelissen,jonathan cornelissen data science,Exact
SEM_Instructors,Jonathan Cornelissen,jonathan cornelissen data science,Phrase
SEM_Instructors,Jonathan Cornelissen,+jonathan +cornelissen +data science,Broad
SEM_Instructors,Jonathan Cornelissen,jonathan cornelissen data camp,Exact
SEM_Instructors,Jonathan Cornelissen,jonathan cornelissen data camp,Phrase
SEM_Instructors,Jonathan Cornelissen,+jonathan +cornelissen +data camp,Broad
SEM_Instructors,Jonathan Cornelissen,jonathan cornelissen datacamp,Exact
SEM_Instructors,Jonathan Cornelissen,jonathan cornelissen datacamp,Phrase
SEM_Instructors,Jonathan Cornelissen,+jonathan +cornelissen +datacamp,Broad
SEM_Instructors,Richie Cotton,richie cotton course,Exact
SEM_Instructors,Richie Cotton,richie cotton course,Phrase
SEM_Instructors,Richie Cotton,+richie +cotton +course,Broad
SEM_Instructors,Richie Cotton,richie cotton courses,Exact
SEM_Instructors,Richie Cotton,richie cotton courses,Phrase
SEM_Instructors,Richie Cotton,+richie +cotton +courses,Broad
SEM_Instructors,Richie Cotton,richie cotton learn,Exact
SEM_Instructors,Richie Cotton,richie cotton learn,Phrase
SEM_Instructors,Richie Cotton,+richie +cotton +learn,Broad
SEM_Instructors,Richie Cotton,richie cotton data science,Exact
SEM_Instructors,Richie Cotton,richie cotton data science,Phrase
SEM_Instructors,Richie Cotton,+richie +cotton +data science,Broad
SEM_Instructors,Richie Cotton,richie cotton data camp,Exact
SEM_Instructors,Richie Cotton,richie cotton data camp,Phrase
SEM_Instructors,Richie Cotton,+richie +cotton +data camp,Broad
SEM_Instructors,Richie Cotton,richie cotton datacamp,Exact
SEM_Instructors,Richie Cotton,richie cotton datacamp,Phrase
SEM_Instructors,Richie Cotton,+richie +cotton +datacamp,Broad
SEM_Instructors,Maggie Matsui,maggie matsui course,Exact
SEM_Instructors,Maggie Matsui,maggie matsui course,Phrase
SEM_Instructors,Maggie Matsui,+maggie +matsui +course,Broad
SEM_Instructors,Maggie Matsui,maggie matsui courses,Exact
SEM_Instructors,Maggie Matsui,maggie matsui courses,Phrase
SEM_Instructors,Maggie Matsui,+maggie +matsui +courses,Broad
SEM_Instructors,Maggie Matsui,maggie matsui learn,Exact
SEM_Instructors,Maggie Matsui,maggie matsui learn,Phrase
SEM_Instructors,Maggie Matsui,+maggie +matsui +learn,Broad
SEM_Instructors,Maggie Matsui,maggie matsui data science,Exact
SEM_Instructors,Maggie Matsui,maggie matsui data science,Phrase
SEM_Instructors,Maggie Matsui,+maggie +matsui +data science,Broad
SEM_Instructors,Maggie Matsui,maggie matsui data camp,Exact
SEM_Instructors,Maggie Matsui,maggie matsui data camp,Phrase
SEM_Instructors,Maggie Matsui,+maggie +matsui +data camp,Broad
SEM_Instructors,Maggie Matsui,maggie matsui datacamp,Exact
SEM_Instructors,Maggie Matsui,maggie matsui datacamp,Phrase
SEM_Instructors,Maggie Matsui,+maggie +matsui +datacamp,Broad
SEM_Instructors,DataCamp Content Creator,datacamp content creator course,Exact
SEM_Instructors,DataCamp Content Creator,datacamp content creator course,Phrase
SEM_Instructors,DataCamp Content Creator,+datacamp +content +creator +course,Broad
SEM_Instructors,DataCamp Content Creator,datacamp content creator courses,Exact
SEM_Instructors,DataCamp Content Creator,datacamp content creator courses,Phrase
SEM_Instructors,DataCamp Content Creator,+datacamp +content +creator +courses,Broad
SEM_Instructors,DataCamp Content Creator,datacamp content creator learn,Exact
SEM_Instructors,DataCamp Content Creator,datacamp content creator learn,Phrase
SEM_Instructors,DataCamp Content Creator,+datacamp +content +creator +learn,Broad
SEM_Instructors,DataCamp Content Creator,datacamp content creator data science,Exact
SEM_Instructors,DataCamp Content Creator,datacamp content creator data science,Phrase
SEM_Instructors,DataCamp Content Creator,+datacamp +content +creator +data science,Broad
SEM_Instructors,DataCamp Content Creator,datacamp content creator data camp,Exact
SEM_Instructors,DataCamp Content Creator,datacamp content creator data camp,Phrase
SEM_Instructors,DataCamp Content Creator,+datacamp +content +creator +data camp,Broad
SEM_Instructors,DataCamp Content Creator,datacamp content creator datacamp,Exact
SEM_Instructors,DataCamp Content Creator,datacamp content creator datacamp,Phrase
SEM_Instructors,DataCamp Content Creator,+datacamp +content +creator +datacamp,Broad
SEM_Instructors,Hillary Green-Lerman,hillary green-lerman course,Exact
SEM_Instructors,Hillary Green-Lerman,hillary green-lerman course,Phrase
SEM_Instructors,Hillary Green-Lerman,+hillary +green-lerman +course,Broad
SEM_Instructors,Hillary Green-Lerman,hillary green-lerman courses,Exact
SEM_Instructors,Hillary Green-Lerman,hillary green-lerman courses,Phrase
SEM_Instructors,Hillary Green-Lerman,+hillary +green-lerman +courses,Broad
SEM_Instructors,Hillary Green-Lerman,hillary green-lerman learn,Exact
SEM_Instructors,Hillary Green-Lerman,hillary green-lerman learn,Phrase
SEM_Instructors,Hillary Green-Lerman,+hillary +green-lerman +learn,Broad
SEM_Instructors,Hillary Green-Lerman,hillary green-lerman data science,Exact
SEM_Instructors,Hillary Green-Lerman,hillary green-lerman data science,Phrase
SEM_Instructors,Hillary Green-Lerman,+hillary +green-lerman +data science,Broad
SEM_Instructors,Hillary Green-Lerman,hillary green-lerman data camp,Exact
SEM_Instructors,Hillary Green-Lerman,hillary green-lerman data camp,Phrase
SEM_Instructors,Hillary Green-Lerman,+hillary +green-lerman +data camp,Broad
SEM_Instructors,Hillary Green-Lerman,hillary green-lerman datacamp,Exact
SEM_Instructors,Hillary Green-Lerman,hillary green-lerman datacamp,Phrase
SEM_Instructors,Hillary Green-Lerman,+hillary +green-lerman +datacamp,Broad
SEM_Instructors,Jasmin Ludolf,jasmin ludolf course,Exact
SEM_Instructors,Jasmin Ludolf,jasmin ludolf course,Phrase
SEM_Instructors,Jasmin Ludolf,+jasmin +ludolf +course,Broad
SEM_Instructors,Jasmin Ludolf,jasmin ludolf courses,Exact
SEM_Instructors,Jasmin Ludolf,jasmin ludolf courses,Phrase
SEM_Instructors,Jasmin Ludolf,+jasmin +ludolf +courses,Broad
SEM_Instructors,Jasmin Ludolf,jasmin ludolf learn,Exact
SEM_Instructors,Jasmin Ludolf,jasmin ludolf learn,Phrase
SEM_Instructors,Jasmin Ludolf,+jasmin +ludolf +learn,Broad
SEM_Instructors,Jasmin Ludolf,jasmin ludolf data science,Exact
SEM_Instructors,Jasmin Ludolf,jasmin ludolf data science,Phrase
SEM_Instructors,Jasmin Ludolf,+jasmin +ludolf +data science,Broad
SEM_Instructors,Jasmin Ludolf,jasmin ludolf data camp,Exact
SEM_Instructors,Jasmin Ludolf,jasmin ludolf data camp,Phrase
SEM_Instructors,Jasmin Ludolf,+jasmin +ludolf +data camp,Broad
SEM_Instructors,Jasmin Ludolf,jasmin ludolf datacamp,Exact
SEM_Instructors,Jasmin Ludolf,jasmin ludolf datacamp,Phrase
