Campaign,Ad Group,Final URL,Description,Headline 1,Headline 2
SEM_Instructors,Kai  Zhang,https://www.datacamp.com/instructors/kaizhizhang,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Kai Zhang,Boost Your Data Science Career
SEM_Instructors,Kai  Zhang,https://www.datacamp.com/instructors/kaizhizhang,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Kai Zhang,Stand Out From the Crowd
SEM_Instructors,Kai  Zhang,https://www.datacamp.com/instructors/kaizhizhang,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Kai Zhang,Tackle Complex Questions
SEM_Instructors,Rob Reider,https://www.datacamp.com/instructors/robreider,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Rob Reider,Boost Your Data Science Career
SEM_Instructors,Rob Reider,https://www.datacamp.com/instructors/robreider,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Rob Reider,Stand Out From the Crowd
SEM_Instructors,Rob Reider,https://www.datacamp.com/instructors/robreider,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Rob Reider,Tackle Complex Questions
SEM_Instructors,Jill Rosok,https://www.datacamp.com/instructors/jcrosok,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Jill Rosok,Boost Your Data Science Career
SEM_Instructors,Jill Rosok,https://www.datacamp.com/instructors/jcrosok,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Jill Rosok,Stand Out From the Crowd
SEM_Instructors,Jill Rosok,https://www.datacamp.com/instructors/jcrosok,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Jill Rosok,Tackle Complex Questions
SEM_Instructors,Hatim Khouzaimi,https://www.datacamp.com/instructors/hatimenst,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Hatim Khouzaimi,Boost Your Data Science Career
SEM_Instructors,Hatim Khouzaimi,https://www.datacamp.com/instructors/hatimenst,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Hatim Khouzaimi,Stand Out From the Crowd
SEM_Instructors,Hatim Khouzaimi,https://www.datacamp.com/instructors/hatimenst,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Hatim Khouzaimi,Tackle Complex Questions
SEM_Instructors,Eric Ma,https://www.datacamp.com/instructors/ericmajinglong,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Eric Ma,Boost Your Data Science Career
SEM_Instructors,Eric Ma,https://www.datacamp.com/instructors/ericmajinglong,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Eric Ma,Stand Out From the Crowd
SEM_Instructors,Eric Ma,https://www.datacamp.com/instructors/ericmajinglong,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Eric Ma,Tackle Complex Questions
SEM_Instructors,Nemanja Radojković,https://www.datacamp.com/instructors/radojkovicn,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Nemanja Radojković,Boost Your Data Science Career
SEM_Instructors,Nemanja Radojković,https://www.datacamp.com/instructors/radojkovicn,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Nemanja Radojković,Stand Out From the Crowd
SEM_Instructors,Nemanja Radojković,https://www.datacamp.com/instructors/radojkovicn,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Nemanja Radojković,Tackle Complex Questions
SEM_Instructors,Stefano Francavilla,https://www.datacamp.com/instructors/stefanofrancavilla,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Stefano Francavilla,Boost Your Data Science Career
SEM_Instructors,Stefano Francavilla,https://www.datacamp.com/instructors/stefanofrancavilla,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Stefano Francavilla,Stand Out From the Crowd
SEM_Instructors,Stefano Francavilla,https://www.datacamp.com/instructors/stefanofrancavilla,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Stefano Francavilla,Tackle Complex Questions
SEM_Instructors,Rounak Banik,https://www.datacamp.com/instructors/rounakbanik,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Rounak Banik,Boost Your Data Science Career
SEM_Instructors,Rounak Banik,https://www.datacamp.com/instructors/rounakbanik,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Rounak Banik,Stand Out From the Crowd
SEM_Instructors,Rounak Banik,https://www.datacamp.com/instructors/rounakbanik,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Rounak Banik,Tackle Complex Questions
SEM_Instructors,Maksim Pecherskiy,https://www.datacamp.com/instructors/maksim,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Maksim Pecherskiy,Boost Your Data Science Career
SEM_Instructors,Maksim Pecherskiy,https://www.datacamp.com/instructors/maksim,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Maksim Pecherskiy,Stand Out From the Crowd
SEM_Instructors,Maksim Pecherskiy,https://www.datacamp.com/instructors/maksim,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Maksim Pecherskiy,Tackle Complex Questions
SEM_Instructors,Susan Sun,https://www.datacamp.com/instructors/susanwsun,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Susan Sun,Boost Your Data Science Career
SEM_Instructors,Susan Sun,https://www.datacamp.com/instructors/susanwsun,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Susan Sun,Stand Out From the Crowd
SEM_Instructors,Susan Sun,https://www.datacamp.com/instructors/susanwsun,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Susan Sun,Tackle Complex Questions
SEM_Instructors,Charlotte Werger,https://www.datacamp.com/instructors/charlottewerger,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Charlotte Werger,Boost Your Data Science Career
SEM_Instructors,Charlotte Werger,https://www.datacamp.com/instructors/charlottewerger,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Charlotte Werger,Stand Out From the Crowd
